0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
0.0503,0.449,16,6160,3100,39,824.1694251,206.324457,200.9007685,195.9304094,191.2656828,186.8177796,182.5374411,178.3665632,174.2242414,170.4414848,166.7701881,163.1896081,159.6722847,156.1977009,152.7356698,149.2596367,145.7360906,142.8249574,139.9739479,137.2191375,134.5635632,131.982148,129.4182009,126.9010361,124.4078584,121.9067564,119.3918377,116.8720145,114.3502244,111.7971781,109.2072969,106.5761405,103.9001695,101.1831927,98.43474661,95.63473175,92.7821272,89.87794574,86.92555819,83.92756167,80.888005,77.8127337,74.71339045,71.60671663,68.50011298,65.3923437,62.29360924,59.21487224,56.16747161,53.16258115,50.21111176,47.32380767,44.51041544,41.77980277,39.13876403,36.59453354,34.15382898,31.82075841,29.59677584,27.45000017,25.41028552,16.73618931,16.49033001,16.27086125,16.05955301,15.84988559,15.6383443,15.42156117,15.19364176,14.98489703,14.77467139,14.56194628,14.34512974,14.12283239,13.89290921,13.65337076,13.40101161,13.19938111,12.9970965,12.79995721,12.60884041,12.42160541,12.2312112,12.04185432,11.85115994,11.65536215,11.45398254,11.24849121,11.03947519,10.82340221,10.59984006,10.36833445,10.12862883,9.881306699,9.627694896,9.365504795,9.094664296,8.815372714,8.528109476,8.233250797,7.931380321,7.623272082,7.310373068,6.994691241,6.677134134,6.357738368,6.037792307,5.718666832,5.401744732,5.088452828,4.780166165,4.478179805,4.183703067,3.897863318,3.621866005,3.356479239,3.102245171,2.859797963,2.629855361,2.417996138,2.219712314,67.50382003,63.91610201,61.27858552,58.90870464,56.71203738,54.65923176,52.71963345,50.86178878,49.17379669,47.57605421,46.05752693,44.60637116,43.21240757,41.86679775,40.55405778,39.27092908,38.17972127,37.13516961,36.14054694,35.2031149,34.31099557,33.45269427,32.6224931,31.81980377,31.0346532,30.2625361,29.50104678,28.75189305,28.01295026,27.27759374,26.54421624,25.81161073,25.07999138,24.35131683,23.62258271,22.89128045,22.15719952,21.42072287,20.68205569,19.94170004,19.20049565,18.46033006,17.72475095,16.99500898,16.26986497,15.55100137,14.84025158,14.13953986,13.45074955,12.77572713,12.11632222,11.47417333,10.85061069,10.24536756,9.660215594,9.09678385,8.555755537,8.033594939,7.48961205,6.94768986
0.0542,0.437,16,5380,1900,28,816.5938262,140.6747424,137.3143722,134.0764589,131.0054336,128.0609729,125.2155835,122.428928,119.6541808,117.1187707,114.6542287,112.2447878,109.88834,107.6399708,105.4458973,103.254498,101.0456771,99.24089975,97.48923208,95.76813083,94.05775304,92.35325322,90.67923839,89.0021336,87.31767835,85.62101756,83.92640336,82.21327172,80.47644747,78.71270024,76.91878516,75.09857842,73.24768901,71.35942776,69.43227562,67.46550525,65.45974017,63.41582774,61.34090958,59.23242295,57.09228328,54.92532589,52.73596262,50.52997479,48.31460755,46.10205003,43.903965,41.7206238,39.56010347,37.42931443,35.3362167,33.28842502,31.29308984,29.35672264,27.48514766,25.68228575,23.95222595,22.29918928,20.72538982,19.22744206,17.79508698,8.158744726,8.063459184,7.970795194,7.878720864,7.785486408,7.690186272,7.591099108,7.485891455,7.389243491,7.291265877,7.191437082,7.090396455,6.993952205,6.898277533,6.799319427,6.696100152,6.616849566,6.538594472,6.459879262,6.379079094,6.295939424,6.212764792,6.126903334,6.038059913,5.945964481,5.851787381,5.754075494,5.652390429,5.546520986,5.436313879,5.322079547,5.203610375,5.08037633,4.952282479,4.819333072,4.681593986,4.539200275,4.392785122,4.242237023,4.087774637,3.92982235,3.76881079,3.605294731,3.439947292,3.273815851,3.107929863,2.942405023,2.778009972,2.615410364,2.455311785,2.298415871,2.14538169,1.996796809,1.853193102,1.715196649,1.58317806,1.457275555,1.337720424,1.225410507,1.122122221,40.33165283,38.69631449,37.20281134,35.81909782,34.52598492,33.31031153,32.15747047,31.04739887,30.03900221,29.08300241,28.17271715,27.30557799,26.49036323,25.72437251,24.99100909,24.2753179,23.67599475,23.10268416,22.55312626,22.01980621,21.49866768,20.99366456,20.50167554,20.0181009,19.53871391,19.06849477,18.6045081,18.1432186,17.68433172,17.22440191,16.76648765,16.30941159,15.85148368,15.39159361,14.92938129,14.46479572,13.99849679,13.52967325,13.06006174,12.58884078,12.1165472,11.64377611,11.17138107,10.70051237,10.23328393,9.771675945,9.315391187,8.865787531,8.423901985,7.990875143,7.567890487,7.156065533,6.75641572,6.369843141,5.99588336,5.635340185,5.289283933,4.958272604,4.634796378,4.30622601
0.0599,0.431,14,5710,2600,49,816.7131223,241.4379377,230.9261323,221.2429652,212.3698142,204.166682,196.5296774,189.370533,182.8653009,177.1705666,171.9849136,167.0528095,162.4245657,157.9308732,153.6215436,149.3936068,145.1901304,141.7164183,138.3507164,135.0807556,131.9235478,128.8549519,125.8523704,122.9030134,120.0160869,117.1758166,114.3639675,111.5738677,108.7976731,106.0473583,103.2988091,100.5460806,97.78510254,95.01296937,92.23430106,89.4402091,86.62636852,83.79243649,80.93886019,78.06728191,75.18249521,72.28945762,69.38913029,66.48794248,63.59213696,60.70659315,57.84044826,55.00283314,52.20289463,49.45963288,46.77502569,44.15194924,41.59718803,39.0871128,36.62803093,34.24014553,31.94508961,29.74903291,27.64727468,25.64968582,23.76043518,11.66518486,11.45476094,11.24111881,11.02388279,10.80215264,10.57689733,10.34871853,10.13981935,9.960769675,9.797116048,9.632616424,9.47431906,9.310735591,9.147117152,8.977308082,8.79799585,8.656880219,8.515106222,8.371979409,8.229243297,8.086340545,7.941686232,7.794905989,7.646986982,7.497676079,7.345411446,7.190154897,7.03160841,6.870758843,6.706332264,6.538093522,6.365899363,6.189566351,6.009423735,5.825375144,5.637182221,5.444934216,5.248862187,5.049260928,4.846624891,4.641562315,4.434399389,4.225745269,4.016524901,3.807607861,3.599579326,3.393108976,3.189158603,2.989260307,2.793744155,2.603034307,2.417946519,2.244109475,2.082024227,1.92979346,1.785037753,1.647610065,1.518866684,1.397601354,1.283216508,73.35466125,68.04879849,63.43362871,59.37776746,55.78164194,52.56836284,49.67569161,47.10732178,44.92037574,42.99068742,41.24289245,39.62997805,38.1342719,36.7243579,35.39479648,34.11672081,33.03804135,32.01929629,31.04939624,30.12854857,29.24989933,28.41140018,27.60405212,26.83013873,26.07885887,25.35330905,24.64669395,23.95669043,23.28448471,22.62922571,21.98217486,21.3442219,20.71202823,20.09268777,19.47802018,18.86644028,18.26098046,17.65915057,17.06073964,16.46777783,15.87603323,15.29007665,14.70844839,14.13064632,13.55598589,12.98682689,12.42488942,11.87093228,11.32846077,10.79736118,10.27723418,9.768218625,9.239444099,8.685346199,8.132203589,7.589842973,7.069137981,6.559831156,6.074528812,5.61578328
0.0517,0.45,20,5770,3200,24,808.2505653,143.2624415,140.0550879,137.0193207,134.1879602,131.5108218,128.9512868,126.4695253,124.0105972,121.8006669,119.6635706,117.5811854,115.5359964,113.5095359,111.4794239,109.4236378,107.3149402,105.6303957,103.9733449,102.3365115,100.7138999,99.11170408,97.52510564,95.95749623,94.39447387,92.8119733,91.20426047,89.57615465,87.92702184,86.23685586,84.50245098,82.72023482,80.88977341,79.00620791,77.07413267,75.09128345,73.0502448,70.95142553,68.79640233,66.58764132,64.32877496,62.02440398,59.68153748,57.32279041,54.93978507,52.54068457,50.13427186,47.72986045,45.33718297,42.96581799,40.62550212,38.32538162,36.07450463,33.88114851,31.75273256,29.69586693,27.71627212,25.81834762,24.00588909,22.28141295,20.64623073,12.01367818,11.86711972,11.7265101,11.59090454,11.45737377,11.32410029,11.1885595,11.04664701,10.91959784,10.79252029,10.66442857,10.5341928,10.40043762,10.26153091,10.11564865,9.960459612,9.841617544,9.72213407,9.601590037,9.479609637,9.357417185,9.234734201,9.112418454,8.98893918,8.861513824,8.72957802,8.593892007,8.454574968,8.309297564,8.157732574,7.999544471,7.834715277,7.662758517,7.484352824,7.299281919,7.106695514,6.906660517,6.699383868,6.485177785,6.264470124,6.037826291,5.806079431,5.571616158,5.333694171,5.093262106,4.85133443,4.608983019,4.36732131,4.127446733,3.890459599,3.657416651,3.42933436,3.207137113,2.991659468,2.783636716,2.58370661,2.392359488,2.209995922,2.036887259,1.873188454,43.97258623,42.29394985,40.78824969,39.41402412,38.14568921,36.96463948,35.85255277,34.7892309,33.83353084,32.93220345,32.07469009,31.25344821,30.46315677,29.69515738,28.94196965,28.19646285,27.57793472,26.98157227,26.40448334,25.84403385,25.2996302,24.77303042,24.26299711,23.76717154,23.27901213,22.79228017,22.30728666,21.8262912,21.34471729,20.85924383,20.36894548,19.87356086,19.37173727,18.86409691,18.35090066,17.83031058,17.30145661,16.76450382,16.21982467,15.66803989,15.10996395,14.54693117,13.98381489,13.41835926,12.85209891,12.28668856,11.72389385,11.16556824,10.61353151,10.06964877,9.535648078,9.013280706,8.504143411,8.009661997,7.531112699,7.069603434,6.625974875,6.200969409,5.795082371,5.408063978
0.0472,0.448,16,6030,3200,49,814.6847256,250.1206015,237.732677,226.5127954,216.362081,207.0885236,198.5486197,190.6171798,183.3075945,177.0938622,171.3631769,166.0344902,161.0404035,156.2916972,151.6899152,147.2877559,142.944312,139.2753685,135.8002897,132.4426383,129.1876593,126.0587704,123.0140999,120.0379955,117.1215203,114.2707502,111.4691604,108.6983852,105.9523899,103.2240934,100.5208927,97.82545776,95.12993217,92.4296782,89.72099003,87.00394863,84.28128635,81.54459229,78.79291563,76.02713962,73.24941307,70.46256075,67.67197447,64.88342902,62.10087545,59.32997942,56.57825812,53.85233983,51.16057227,48.5197043,45.93412932,43.40638075,40.93328427,38.49132286,36.09734333,33.78425192,31.56163375,29.43187156,27.38864996,25.44903412,23.60972336,20.11569197,19.58006367,19.05633439,18.54626186,18.04732753,17.55885687,17.07790391,16.6194675,16.24334228,15.88749833,15.55043624,15.22519274,14.9062056,14.58355518,14.26637455,13.9400868,13.67044809,13.41022316,13.1521048,12.89511368,12.64286771,12.3920322,12.14088791,11.88881655,11.63732739,11.38529512,11.13088575,10.87373249,10.61329206,10.35048916,10.0842364,9.813515408,9.538090728,9.257781795,8.972794992,8.683760512,8.389913659,8.091337431,7.788405603,7.481596873,7.171536127,6.859273424,6.54604119,6.232298059,5.919024036,5.60710452,5.297660101,4.991892323,4.691888953,4.398498896,4.112330407,3.835937085,3.57484691,3.328211108,3.092191836,2.866495077,2.65174205,2.44962566,2.257841825,2.077081572,80.14560831,73.4216269,67.86081256,63.05862339,58.86509002,55.16951721,51.88272062,48.95871111,46.48980389,44.33867107,42.39120645,40.62578647,39.00088262,37.48030757,36.05632086,34.71108816,33.5505561,32.46946504,31.45244846,30.48568667,29.5738018,28.70244874,27.86347928,27.06382441,26.29133392,25.54673629,24.8212049,24.12164842,23.43204342,22.76629743,22.10846618,21.46510918,20.83093692,20.20468589,19.5885066,18.97698205,18.36905576,17.76816871,17.17126957,16.57821799,15.99068367,15.40282777,14.82014374,14.24224158,13.66905886,13.10198984,12.54136863,11.98837693,11.44573731,10.9134385,10.39111247,9.866215698,9.310860249,8.741676105,8.180998325,7.636220286,7.113854514,6.601807611,6.119859934,5.657887322
0.0469,0.466,14,6010,2500,44,814.3792783,170.9948715,166.8063782,162.8281476,159.1227969,155.5567741,152.0964422,148.7019814,145.3177893,142.2271562,139.2211966,136.2829032,133.391427,130.5271022,127.6693906,124.7952574,121.8745309,119.4680772,117.1079946,114.8225152,112.6173049,110.4698948,108.3344822,106.2362864,104.1552813,102.0651662,99.96177341,97.8407542,95.72855651,93.58856034,91.41580775,89.20724344,86.96046529,84.67766617,82.36686984,80.01276529,77.61413152,75.1714031,72.68696405,70.16460687,67.60772176,65.02114012,62.41330997,59.80321126,57.19218415,54.58107638,51.97861992,49.39419364,46.83731735,44.3175203,41.84385357,39.42521218,37.06989262,34.7854424,32.57802934,30.45264446,28.42260758,26.49434035,24.66036865,22.88912173,21.20025833,21.52876606,21.22726757,20.9266161,20.61984903,20.31839704,20.01994223,19.71797361,19.4046043,19.11834545,18.83191018,18.5441589,18.25255804,17.9554393,17.64994945,17.3333346,17.0017797,16.73590907,16.47015015,16.21104894,15.96042621,15.71476718,15.46573633,15.21837477,14.96970265,14.71523906,14.4544154,14.1864467,13.91654633,13.63837818,13.35126754,13.05473944,12.7485303,12.43315456,12.11031697,11.77729703,11.43398332,11.08055932,10.71750073,10.34554071,9.965348772,9.577853294,9.184581677,8.788837628,8.390911434,7.991121313,7.591059065,7.192414146,6.796902599,6.406219289,6.022033147,5.645952878,5.279444988,4.923869426,4.580511601,4.250449588,3.935838795,3.637447521,3.35391837,3.088874228,2.839116486,54.61407275,52.32878162,50.30946066,48.46138034,46.72613318,45.08721771,43.53006363,42.03117666,40.66767058,39.37541884,38.14038788,36.96078364,35.82261765,34.72026759,33.64384714,32.58769127,31.69355685,30.83477524,30.0170212,29.24208861,28.50489056,27.79483761,27.10729441,26.4416678,25.79114286,25.14634427,24.51048743,23.88620871,23.27159719,22.65647844,22.0438858,21.43160627,20.81958732,20.20951477,19.59920524,18.98651235,18.37120117,17.75343802,17.13378142,16.51265653,15.89077088,15.26954287,14.65270653,14.04063029,13.4325477,12.82990831,12.23430585,11.64737777,11.07075475,10.50595706,9.954509143,9.417822913,8.897163095,8.393005935,7.905727253,7.438869616,6.993500886,6.568051705,6.131300487,5.691681157
0.0508,0.451,17,6240,2000,33,822.0859621,183.2742105,178.2621771,173.8606759,169.7742002,165.8948504,162.1620774,158.5268068,154.9143377,151.6160251,148.4136124,145.2866904,142.2145639,139.1736649,136.1432936,133.0948939,130.0011966,127.446158,124.9421839,122.4819059,120.0953415,117.7676272,115.5108776,113.2627752,111.0277262,108.8239633,106.6070677,104.371923,102.1134733,99.8498159,97.56074806,95.23381224,92.86598987,90.45746081,88.00351594,85.50734867,82.97551738,80.39772502,77.77503787,75.10940322,72.40506279,69.66723613,66.90323958,64.13173176,61.35598474,58.57864413,55.81095711,53.06201737,50.33983588,47.65449936,45.01578199,42.43327208,39.91581631,37.47163149,35.10674132,32.82787012,30.6409677,28.54975011,26.55727598,24.63581187,22.81199202,15.64814859,15.38445001,15.16939928,14.96842868,14.7716551,14.57480357,14.37371977,14.16304909,13.97054676,13.77681896,13.58083173,13.38131697,13.17659364,12.96500446,12.74420618,12.51177924,12.326221,12.13992763,11.95290708,11.76981996,11.58927097,11.4134272,11.23436119,11.05306244,10.87225955,10.68638906,10.49491272,10.29751939,10.09664632,9.890007893,9.676088311,9.454542273,9.225492685,8.988448171,8.74394201,8.493008137,8.234366175,7.968183162,7.694776102,7.414736517,7.128782633,6.837863297,6.544172562,6.248315563,5.95072111,5.652894652,5.356003247,5.061087086,4.769425912,4.482275642,4.200864771,3.926326301,3.659715916,3.402207784,3.154518815,2.917148876,2.690724542,2.475582701,2.276660243,2.089952897,60.72315922,57.28032366,54.85937464,52.74693895,50.80806532,48.99864565,47.2917909,45.65514555,44.1662909,42.75739541,41.41674665,40.13461206,38.90121318,37.70776844,36.54487992,35.40472568,34.43508888,33.50740248,32.61197004,31.7578074,30.94438852,30.17038848,29.42404901,28.69594897,27.98997789,27.2998706,26.61939035,25.94274782,25.27652856,24.61921926,23.96328064,23.3077267,22.65111932,21.9944054,21.33655598,20.67879728,20.01991374,19.35837594,18.69430473,18.02822223,17.36091814,16.69364161,16.03011942,15.37056058,14.71507285,14.06550085,13.42358619,12.79062759,12.16821149,11.55801404,10.96168589,10.38074387,9.81654383,9.268624884,8.738577119,8.228045832,7.737559005,7.265909633,6.776713108,6.289702149
0.0512,0.457,12,5940,3100,44,818.5861933,160.8708025,157.0543908,153.3742219,149.8809201,146.5394885,143.3091355,140.1401458,136.9764335,134.0873531,131.2758584,128.5207902,125.8087988,123.1203242,120.4358402,117.7307994,114.9799321,112.7167854,110.5130382,108.3753679,106.3356533,104.3112272,102.3132461,100.3493604,98.38129462,96.40448642,94.41370105,92.43590719,90.43423377,88.40380635,86.34143023,84.24383567,82.11370162,79.95730376,77.76051759,75.52312776,73.24272362,70.92073418,68.55928994,66.16136284,63.73158525,61.2813033,58.80936003,56.33092027,53.85269066,51.37538471,48.90742465,46.45773876,44.03537013,41.64936948,39.30840692,37.02089309,34.79451208,32.63619449,30.55201001,28.54636851,26.6244116,24.78933925,23.0440973,21.36650073,19.7715751,16.1832608,15.96559266,15.75242397,15.54390812,15.33424136,15.12258604,14.906394,14.68024356,14.47381325,14.26650829,14.05684779,13.84373813,13.62532506,13.39984295,13.16490802,12.91787553,12.7207675,12.52600387,12.33548438,12.1544079,11.97093084,11.78706148,11.60445703,11.4174359,11.22561275,11.02844006,10.83022664,10.62572101,10.41431564,10.19566111,9.969423393,9.736085154,9.496804331,9.249524491,8.994235978,8.730744942,8.459307006,8.180289973,7.894182947,7.601709285,7.304559095,7.002671036,6.698090709,6.39183573,6.084169273,5.776344459,5.469683775,5.165524486,4.865202702,4.569999886,4.281143336,3.999773655,3.726942475,3.463604659,3.210657123,2.968597705,2.737966028,2.518986751,2.315741556,2.126896395,50.79625041,48.76588095,46.91119882,45.18937156,43.5803727,42.06526148,40.62354428,39.23413866,37.9699204,36.7693414,35.624697,34.52451833,33.46575094,32.43944673,31.43768032,30.45233499,29.61915414,28.82343643,28.06363945,27.35065587,26.66983283,26.01072882,25.37216583,24.75160957,24.1407295,23.53786957,22.94728274,22.36577725,21.78722117,21.21042218,20.63439705,20.05923904,19.48628386,18.91373768,18.33959586,17.76294871,17.18382284,16.6024587,16.01923149,15.43484942,14.8511106,14.26842191,13.68898924,13.11378677,12.54256142,11.97673132,11.41780418,10.8673122,10.32679253,9.797703272,9.281465386,8.779360709,8.292535054,7.821693366,7.366795177,6.929379304,6.509810233,6.108983627,5.699738791,5.288664721
0.057,0.425,15,5440,3100,40,820.173465,211.1913637,206.0502733,201.0982681,196.4036339,191.9048048,187.5611145,183.3118819,179.0838876,175.2194386,171.4652871,167.7976657,164.1923176,160.7481673,157.4226359,154.0897586,150.7487007,148.0166086,145.3525341,142.7496059,140.1655642,137.5916495,135.0631113,132.5339069,129.9956612,127.4405552,124.8809173,122.3044085,119.6939409,117.0443315,114.3508907,111.6103069,108.8356807,106.0065694,103.1209241,100.1778205,97.17798664,94.1221469,91.01706597,87.86951418,84.67628114,81.44434219,78.18130256,74.89517672,71.59671258,68.30570379,65.03598653,61.78820097,58.57507996,55.40918944,52.30088611,49.26098511,46.29997598,43.42737152,40.65151314,37.9784139,35.41490592,32.96584436,30.6349725,28.40383716,26.27480067,8.114508129,8.047096082,7.981504244,7.914035032,7.842642139,7.766816583,7.685070279,7.594879078,7.512099832,7.426141854,7.336846379,7.243669875,7.15404762,7.06675295,6.974189367,6.877501526,6.805045159,6.731996686,6.658793556,6.582767789,6.503654137,6.423855602,6.340855169,6.254160555,6.163467643,6.069687467,5.972257155,5.870133432,5.763133248,5.651069207,5.533803733,5.412191405,5.285205615,5.152730667,5.014732501,4.871358862,4.722678543,4.569180179,4.411303236,4.249053613,4.082872344,3.913282746,3.740867469,3.566355851,3.391000445,3.21571246,3.040677189,2.866734252,2.694738072,2.525436661,2.359548369,2.197777277,2.040763138,1.889115073,1.743517942,1.60423077,1.471550706,1.345629209,1.229887372,1.124097409,61.20635287,58.67982592,56.36730787,54.22428943,52.22524078,50.34829675,48.56955349,46.86388464,45.3104228,43.84089046,42.44307236,41.10673018,39.8499956,38.67452351,37.55244454,36.45943048,35.54581827,34.67119546,33.83110362,33.02008243,32.22835602,31.46126008,30.71468739,29.98056391,29.25628812,28.54447337,27.840809,27.1443458,26.4507225,25.75862786,25.06706856,24.3781269,23.69074385,22.99881642,22.30507062,21.60828746,20.90927156,20.20615991,19.50286901,18.79827033,18.09244771,17.3865044,16.68158087,15.9793473,15.28324888,14.59552208,13.91577098,13.24601751,12.58829434,11.94421515,11.31533831,10.70323243,10.10936263,9.53479372,8.979239382,8.444509936,7.931446001,7.440966985,6.948820113,6.452353207
0.0653,0.422,14,5130,1800,46,816.4693573,212.8152434,204.0659544,195.9484265,188.4706199,181.5663587,175.5330014,170.0562886,164.9184406,160.3201142,156.0069705,151.8719269,147.9325232,144.0954751,140.3588896,136.6751492,132.9937127,129.9379747,126.9695985,124.0787533,121.2757038,118.5324098,115.8384139,113.1912527,110.5901888,108.0165772,105.4635033,102.9305409,100.4109295,97.89407902,95.374784,92.84853605,90.31833808,87.77308402,85.21039013,82.62818635,80.02600652,77.40713664,74.76785337,72.11035358,69.43702983,66.75100288,64.05878439,61.3651121,58.67514811,55.99491845,53.33206204,50.69616066,48.0944297,45.53624622,43.0290094,40.58828684,38.21558159,35.90117969,33.63400431,31.42465111,29.30746315,27.27829429,25.33948496,23.49526879,21.75048454,7.363685374,7.258973664,7.150994182,7.037249142,6.920501435,6.823578246,6.735055829,6.64655106,6.568117274,6.48991043,6.408416282,6.325938176,6.238656695,6.146736317,6.049114596,5.943566588,5.861056888,5.776903982,5.690735321,5.603567674,5.514617385,5.423705489,5.330692248,5.235932097,5.138804409,5.039259888,4.937222579,4.832758219,4.7253223,4.614849423,4.501241978,4.384625303,4.264861808,4.141798984,4.015405043,3.885799355,3.753182228,3.617701996,3.479543758,3.338971367,3.196285733,3.051893638,2.906299647,2.760006907,2.613703652,2.468113889,2.32373995,2.181077373,2.040707386,1.903146754,1.769393135,1.639890523,1.516893961,1.403511248,1.299215571,1.199443877,1.105530343,1.01761296,0.935258228,0.857797399,58.2538649,54.24592706,50.74099154,47.64078897,44.88492526,42.50647752,40.45776536,38.6327987,37.03059995,35.57276757,34.22577418,32.96989158,31.78732212,30.6685551,29.60096335,28.5695667,27.69716677,26.86611519,26.07512269,25.32186466,24.60163791,23.90833241,23.24006339,22.59602231,21.97459188,21.36566071,20.77685442,20.19860656,19.63436004,19.07967638,18.5331941,17.99529385,17.46412441,16.93787733,16.41571328,15.89700212,15.38220345,14.87060093,14.36161524,13.85512659,13.3512071,12.8506075,12.35398398,11.86154999,11.37286211,10.88806041,10.40900098,9.936413701,9.472062202,9.016961121,8.573244138,8.139849467,7.703642709,7.246252882,6.78142784,6.329822295,5.891803885,5.4683963,5.062172772,4.677364115
