RMSE,Case
0.021151,geo-f1f2
0.021125979,geo-f1f2
0.0203665,geo-f1f2
0.021071095,geo-f1f2
0.02097661,geo-f1f2
0.02105223,geo-f1f2
0.007287071,geo-f1f2f3
0.00852126,geo-f1f2f3
0.007067202,geo-f1f2f3
0.007401606,geo-f1f2f3
0.00843082,geo-f1f2f3
0.00915911,geo-f1f2f3
0.01038474,geo-dir
0.00867808,geo-dir
0.013644991,geo-dir
0.0081693,geo-dir
0.010798477,geo-dir
0.009126255,geo-dir
